Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
Temperature;0,06143139841705998;0.2478535826189728;;12,316571790006325;4,62539838082163;;;;0.20735385677956006;0.2875051602868254;0.012221780876004729
Wind;0,03358920195820708;-0.18327357135770309;;2,865907653383934;1,3831347688200049;;;;-0.2242130898441028;-0.14168832418206662;0.012200706105747475
Humidity;0,004725489750820906;0.06874219774505981;;50,73418722327641;19,599154706515332;;;;0.026124960270712795;0.11111001485460559;0.010327993060673292
Aqi;0,027516572023407182;0.16588119852294045;;39,56578115117014;7,350789296413342;;;;0.14181338134310206;0.18975301075043416;0.010122391530571716
Pm25;0,08556618641731951;0.29251698483561517;;5,6460626185958125;3,9929324712476104;;;;0.26981467611166515;0.3148942763540598;0.009811677615594922
Pm10;0,07473417676030597;0.2733755233379645;;8,36552814674263;5,435203477283408;;;;0.25041520348890023;0.29602849809867604;0.010388043829618885
O3;0,0022786336287681174;0.04773503565273747;;72,69275774826059;14,948443361383701;;;;0.023114598899768347;0.07229760586296474;0.010510983645766548
UvMaxToday;0,04266162478904001;0.20654690699460984;;4,635996835443046;1,0453361193696158;;;;0.18282249959064528;0.23003090544408294;0.008282090760599181
Lon;0,34205717099020516;-0.5848565388111902;;14,92538891900173;2,3730110944568485;;;;-0.6008428242142909;-0.5684026171519405;0.010009693568177692
Lat;0,3927211086743;-0.6266746433950395;;58,310625389062174;1,9283001012765684;;;;-0.6414149507816116;-0.6114718332307392;0.012201578856223687
SmhiWeatherTemp;0,0328066778945276;0.18112613807655592;0,014484222263394464;12,758285895003215;4,617429381297609;2.8431910203921156;4.9739644731795E-05;;0.15718021011274452;0.20485921122327275;0.012219771350710954
SeaTemperature;0,10716823956668087;0.3273656053507773;0,00771896449989803;7,02255550074;1,807605349341088;1.2812332337832602;-4.431513010687009E-07;;0.28793073828862364;0.365692131781175;0.018747791318482174
SeaSalinity;0,24646660303764661;0.4964540291282231;0,1533022193713619;16,972267552182302;10,238870169363812;5.161408126228798;2.4927853772425156E-06;;0.4635860868238447;0.527957581295546;0.01605949053974469
PollenBirch;0,16528893660369534;0.4065574210412292;0,2405544579404134;3,79734219269103;0,8911470025699871;0.3257803502141093;0.009256080806247536;;0.3702820841235589;0.4415946543801151;0.030304708848272684
PollenGrass;;;;;;;;;;;
PollenMugwort;;;;;;;;;;;
