Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
Temperature;0,22699133682244227;0.4764360784223234;;13,469001522732217;5,0953235594170465;;;;0.43746025542652284;0.5136251626753765;0.01234733120744239
Wind;0,03073626292184974;-0.175317605852492;;2,5734174461605397;1,162631802977702;;;;-0.2226338849186755;-0.1271773160949399;0.017737852034421544
Humidity;0,012324963553906679;-0.11101785241080228;;59,91320426365021;21,101429220923016;;;;-0.15938472972013468;-0.06211929199284842;0.013461356062768411
Aqi;0,07331883460977529;0.27077450878872494;;44,5240374157059;5,959841563246491;;;;0.24377331996020898;0.29735625378790054;0.012069042144838024
Pm25;0,14753920181505414;0.38410832041893356;;7,815401348705687;3,469721999499411;;;;0.3591874334549523;0.4084818250580523;0.012316474520080277
Pm10;0,12715516351543577;0.35658822683234476;;11,135175114204978;4,78984915810106;;;;0.3310919441156481;0.3815642030069553;0.012568071463728589
O3;0,03977121078959727;0.19942720674370704;;83,1933869915162;14,775231248085639;;;;0.17150656718401044;0.22702774853328442;0.012729462655210763
UvMaxToday;0,03987921673731744;0.1996978135516697;;4,383580139372786;1,44915623325859;;;;0.17176481010815742;0.2273099718850543;0.010896592007887212
Lon;0,19258731618297065;-0.4388477141138719;;14,867131175019527;2,253423357884004;;;;-0.4618971311836173;-0.41520593339495343;0.011228985792887482
Lat;0,18488268339839706;-0.4299798639452748;;58,14018845676507;1,751290957197012;;;;-0.453255119340097;-0.40611868030762593;0.01698761874061041
SmhiWeatherTemp;0,11137117319289416;0.333723198463778;0,010955840563658626;13,897476615183734;5,100992896589487;3.068702991387386;-5.443031879968248E-06;;0.3077831819603573;0.3591674722939923;0.012595264611355954
SeaTemperature;;;;;;;;;;;
SeaSalinity;;;;;;;;;;;
PollenBirch;;;;;;;;;;;
PollenGrass;;;;;;;;;;;
PollenMugwort;;;;;;;;;;;
PollenAlder;;;;;;;;;;;
PollenHazel;;;;;;;;;;;
PollenWillow;;;;;;;;;;;
DirRiver;0,021840683649759458;0.14778593860634867;;185,56929920482943;105,01695154702563;;;;0.11281625885838613;0.18238996313201547;0.01847872266383449
