Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
Temperature;0,14101751919163635;0.37552299422490276;;13,945088227548064;4,4001787046994485;;;;0.34786859782927293;0.40252450886219876;0.007160366023258542
Wind;0,13450834249585478;-0.36675379002248193;;2,74058467210956;1,5863442322474828;;;;-0.39396741762541826;-0.3388976991126804;0.008449066338990228
Humidity;0,00179341700831041;0.042348754507191944;;49,08355280484593;20,462021942356635;;;;0.010553176378856286;0.07405878390314469;0.006167621074072307
Aqi;0,04719387967302477;0.21724152382319722;;38,09645772978667;6,723257541438999;;;;0.20203535880249196;0.2323429743827244;0.00602827554953457
Pm25;0,15008695763323873;0.3874105801772052;;5,137872004213946;3,939345020804774;;;;0.3738095842440992;0.40084499852668265;0.004859010480721103
Pm10;0,1372699287541802;0.3704995664696252;;7,484250724256009;5,381792652639388;;;;0.35669719732216437;0.3841402275004034;0.005109387905521683
O3;6,218124716525406E-05;0.00788550868145195;;68,7621148274954;13,043361897200045;;;;-0.008019705272199844;0.023786733701434946;0.00668390822683816
UvMaxToday;0,08356611653536276;0.2890780457512517;;4,857222487657148;0,8447534194076827;;;;0.27296765850970994;0.30502634001985635;0.009592951690964338
Lon;0,6780570589399436;-0.8234422013353114;;14,805396471805107;2,8927342175680506;;;;-0.8284962599488904;-0.8182540081831358;0.003036489868447256
Lat;0,5457393845387174;-0.7387417576790399;;59,39164724074827;2,580582398268826;;;;-0.7458825155774517;-0.7314312099060661;0.004444525047352674
SmhiWeatherTemp;0,0549949700286978;0.23451006381112474;-0,015158390951849593;14,40481959441682;4,390143422277976;2.4376188022677168;-5.413355707124075E-05;;0.21942424153895024;0.2494837731422086;0.007160546077581744
SeaTemperature;;;;;;;;;;;
SeaSalinity;;;;;;;;;;;
PollenBirch;;;;;;;;;;;
PollenGrass;;;;;;;;;;;
PollenMugwort;;;;;;;;;;;
PollenAlder;;;;;;;;;;;
PollenHazel;;;;;;;;;;;
PollenWillow;;;;;;;;;;;
DirRiver;0,00521500947557064;0.0722150225061977;;172,16054026218845;111,43356751058685;;;;0.05351981111669916;0.09085962674664606;0.009451888881185973
DirCoast;0,24352078411812586;0.4934782509068924;;203,4322209178612;74,51184927414931;;;;0.4813518755616683;0.5054157636936901;0.006257038886550951
IsGrundvattenMagasin;0,3457993152488807;;;;;;;;;;
IsInSubbasin;0,031340531998946534;;;;;;;;;;
SoilDepthMeters;0,00046704673482690396;0.021611264072860337;;12,8211958762886;15,740587838684311;;;;0.005679609084464425;0.037531950851683545;0.008011353982215188
RidgeDirection;0,2990779314243479;-0.54688018013487;;139,86757795813756;140,46718550479247;;;;-0.5609219220686392;-0.5325238689293424;0.007781265288605281
IsGranit;0,6270740057940479;;;;;;;;;;
IsDiabas;0,017118777982617857;;;;;;;;;;
IsBasalt;0,013695022386094284;;;;;;;;;;
IsAmfibolit;0,13642349223070846;;;;;;;;;;
IsSandsten;0,13062944429813012;;;;;;;;;;
IsKonglomerat;0,0597840400316039;;;;;;;;;;
IsLerskiffer;0,23281538056360285;;;;;;;;;;
IsKalksten;0,0837503292072689;;;;;;;;;;
IsLera;0,040031603897814065;;;;;;;;;;
IsKol;0,003687121411640769;;;;;;;;;;
IsGnejs;0,29470634711614435;;;;;;;;;;
IsPegmatit;0,03476428759547011;;;;;;;;;;
IsSkiffer;0,23281538056360285;;;;;;;;;;
IsKvartsit;0,14643139320516196;;;;;;;;;;
IsBerg;0,1796154859099289;;;;;;;;;;
IsSilt;0,19831445878324994;;;;;;;;;;
IsSand;0,2264946010007901;;;;;;;;;;
IsGrus;0,2264946010007901;;;;;;;;;;
IsTorv;0,004477218856992362;;;;;;;;;;
IsMoran;0,18303924150645245;;;;;;;;;;
IsIsalv;0,13405319989465367;;;;;;;;;;
IsVittringsjord;0;;;;;;;;;;
IsMoranlera;0,03950487226757967;;;;;;;;;;
Al2O3;0,0005510441720306408;0.023474330065640654;;13,4311986863711;1,8545001668522718;;;;-0.012057420841808632;0.05894687418111155;0.014362867126637577
AsPpm;0,04410275403018782;-0.21000655711236213;;-1,6807881773399014;11,764354696646363;;;;-0.24371022702935902;-0.1757962633385279;0.022406592618570014
BaO;0,0159198020819533;0.1261736980592758;;57,75730706075534;18,902002357949062;;;;0.09106012392881041;0.1609739252542031;0.015651949784284636
CaO;0,06009786401225248;-0.24514865696603863;;17,54942528735632;10,959455375168945;;;;-0.2782473491121522;-0.2114684477173659;0.018048332833519358
ClPpm;0,006201992162369139;0.07875272796779258;;114,84926108374384;250,6377016605917;;;;0.04335230618185337;0.11395564182714546;0.01079229893376518
CoPpm;0,03288108372871211;0.18133141958500218;;21,21510673234811;6,645523156167336;;;;0.1467550010050431;0.2154652616535846;0.012531307427325816
CrPpm;0,11143946920843376;-0.3338255071267529;;50,02660098522168;24,821325009026893;;;;-0.36501879343425486;-0.3018835601632613;0.017207406148447436
CuPpm;0,0013399518645690136;-0.0366053529496577;;16,83087027914614;12,15379839548767;;;;-0.07203338592318165;-0.0010850669944246947;0.016826769680471084
Fe2O3;0,00283253740959477;0.05322158781542289;;36,14055829228243;17,627122672066776;;;;0.017733416362621886;0.08857583018952153;0.015942192552134422
K2O;0,04507162875149424;0.21230079781172334;;26,629556650246304;9,443554906452407;;;;0.17812237246195253;0.24596758312045758;0.014252381053947728
MgO;0,024002978611080795;-0.15492894697596313;;11,819704433497536;5,897225837642191;;;;-0.18940826591335;-0.12006802518139259;0.016714369785183834
MnO;0,024371940237294103;0.1561151505693605;;57,9816091954023;44,12623366445008;;;;0.12126593091318108;0.19057999083546495;0.015446013707360583
MoPpm;0,024175163281131385;0.15548364313049584;;2,2351395730706076;11,639877196588484;;;;0.12062818089008809;0.18995620373098118;0.008475828894093429
Na2O;0,04535768713859378;-0.21297344233165266;;21,40361247947455;9,242160442919682;;;;-0.24662934427916047;-0.1788044328525863;0.018494110729860062
NiPpm;0,0022634916389364405;-0.04757616671124777;;18,013793103448275;9,88959122922819;;;;-0.08295766625323835;-0.012074876234346523;0.016763668837891165
P2O5;0,0021044991410240996;-0.04587482033778552;;215,40886699507388;152,3262565131885;;;;-0.08126409316678555;-0.01037002197148432;0.015231210707795213
PbPpm;0,0026208178904906943;0.05119392435133972;;24,618062397372743;12,642678571980836;;;;0.015700779290182463;0.08655821551465866;0.01552446199275389
RbPpm;0,010041349275471317;0.10020653309775425;;90,02857142857142;22,793901153414485;;;;0.06491590480556639;0.13524681807575975;0.0169740033125316
SPpm;0,025301211606437626;0.15906354581247592;;303,9328505595787;278,69902043473104;;;;0.12420352678805874;0.1935313969239458;0.01516646145239835
SiO2;0,000855526834985431;0.029249390335277604;;71,26600985221675;6,806566455888937;;;;-0.006278830144506148;0.06470386065277911;0.011665980312156684
SrPpm;0,04669602932207532;-0.21609264060137567;;161,45484400656815;47,91849683966382;;;;-0.24969766385969322;-0.1819677238630696;0.014782788058606314
TiO2;8,6925452604444E-05;-0.009323382036817112;;61,14384236453202;26,208096502567557;;;;-0.044830231906005095;0.026206994107843485;0.01884441005415383
