VarX;VarY;CorrXY;Alpha;Beta;Gamma;Beff
Temperature;Humidity;-0,6581410715156466;0,23869832018172243;0,4404916107965692;-0,04867816212207209;0,006136328549921078
Temperature;DistCoast;0,22443040381973836;0,23869832018172243;0,2076549240507085;0,07046600672553115;0,006136328549921078
Humidity;DistCoast;-0,06296403133383774;0,4404916107965692;0,2076549240507085;0,08492569697779864;0,006136328549921078
Wind;DirCoast;-0,08144362286231183;0,03417061373486393;0,07267224341066564;0,01887386513385052;0,006136328549921078
Wind;Humidity;-0,4740291635957722;0,03417061373486393;0,4404916107965692;0,1292535859107609;0,006136328549921078
SoilDepthMeters;DistRidge;0,08712445159726183;0,3495709472691929;0,25285509288829094;-0,12164061854731377;0,006136328549921078
DirCoast;DistCoast;0,08267706472798783;0,07267942221607385;0,20767543689332052;0,26568819373440156;0,006136328549921078
HarvestHostvete;SoilDepthMeters;-0,021050186699239422;-0,001832892066022274;0,005250164368849819;-0,5725665747214185;0,006136328549921078
HarvestHavre;Humidity;0,0011763198682484823;-0,004443294344410282;0,4510258555257616;-0,7048144947147893;0,006136328549921078
HarvestSlattervallTotal;Temperature;0,01143623414454499;0,0027199573272575347;0,220070813831489;-0,706330731110813;0,006136328549921078
Temperature;Lat;-0,2062949459850711;0,23869832018172243;-0,16502641346142438;-0,016623137891701344;0,006136328549921078
Humidity;Lat;-0,18963160577771415;0,4404916107965692;-0,16502641346142438;0,042466429785962094;0,006136328549921078
Wind;Lat;0,3300082845872946;0,03417061373486393;-0,16502641346142438;0,21951137863261985;0,006136328549921078
Fe2O3;NiPpm;0,5631163261070625;0,17916180055026956;0,1561961660823865;0,027445753975925358;0,006136328549921078
NiPpm;CrPpm;0,8240540194987871;0,1561961660823865;0,08909201402588074;-0,003287440816950977;0,006136328549921078
IsMoran;IsLera;0,23686517838941476;0,23505299792940348;-0,007173206564599108;0,14078744863750986;0,006136328549921078
IsLera;Al2O3;0,10107399979491967;-0,0016619967452794005;0,18937898434915632;-0,5521039205843818;0,006136328549921078
SiO2;Fe2O3;-0,4749165083775549;0,12064019399528786;0,17916180055026956;0,10512285974817036;0,006136328549921078

