Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
Temperature;0,1045011720345533;0.32326641030975256;;8,255199635645969;3,9450370789485465;;;;0.26539142420134915;0.3788201063533377;0.01268961599927745
Wind;0,05633895057789308;0.23735827471965892;;2,7235463792318204;1,438673362553524;;;;0.17670736572278173;0.2962134565105685;0.012487097103118381
Humidity;0,025630149879704234;-0.1600941906494556;;60,63549415515409;18,87770438014693;;;;-0.2211589128901655;-0.09777901962420897;0.011615037378976055
Aqi;0,0014639534473647163;0.03826164459827513;;35,215727948990434;3,381332854262614;;;;0.014124163708872511;0.062354558717908376;0.009410641013529192
Pm25;6,234499848242536E-05;0.007895884908129383;;5,001047517838108;2,1215759563912977;;;;-0.01625774744746855;0.03204030731623879;0.01168497523792529
Pm10;0,0013389366313144426;0.03659148304338651;;6,627812357674146;2,685990263407936;;;;0.01245195471431632;0.0606883846565808;0.01178998458819767
O3;0,004033315932666337;0.06350839261598688;;65,41020191285867;10,864622843059735;;;;0.039418318746217505;0.08752468279768671;0.010040110845137994
UvMaxToday;0,01742930583453545;0.13202009632830697;;3,8881415122988012;0,979869039032188;;;;0.10821277764023017;0.15567607366242758;0.009535719708243748
Lon;0,004634486301923448;-0.06807706149595066;;15,501058241920443;2,3572187875492676;;;;-0.09207621141733993;-0.04399886774538913;0.017950708868757544
Lat;0,10012926659416703;-0.3164320884394739;;59,10132269865509;2,463428583972997;;;;-0.33799962633773334;-0.2945323736513941;0.015528460078706244
SmhiWeatherTemp;0,027720703337865537;0.1664953553041812;0,0004957464550320656;8,69017762258993;3,9426001232925825;2.104604117958008;2.759942323864182E-05;;0.14291949548590696;0.1898823796460376;0.012734662945074077
SeaTemperature;0,009699028273029028;0.09848364469813771;-0,025534594835923335;4,975571428571439;1,1281274596867978;0.6081614302681319;-1.7412880399175608E-06;;0.03371039914912519;0.1624330199086935;0.05101337080159082
SeaSalinity;0,0013275139920352237;-0.036435065418292084;0,030993131352903512;10,982513034410788;7,806296682498341;4.4219832263856;5.841877325479799E-07;;-0.09951169162859014;0.02693321405258284;0.0289036192049446
PollenBirch;0,09051536183863308;-0.3008577102861635;0,19251821312958248;2,5607940446650126;0,7682449888866945;0.4893935379639596;0.0031287494202295258;;-0.3871663501100998;-0.20932222660089037;0.0712505388255344
PollenGrass;;;;;;;;;;;
PollenMugwort;;;;;;;;;;;
PollenAlder;0,28274972544832716;-0.5317421606834718;0,2926469330182002;1,089676746611053;0,28586717463878303;0.08087522418724068;0.006744513178619557;;-0.5756698021344734;-0.4847540634203472;0.025601602027026493
