Variable,Parents,ParentConfig,Low,Mid,High
Temperature,Lat,GlobalDensity,Lat=Low|GlobalDensity=Low,0,38078902229845624,0,48284734133790735,0,13636363636363635
Temperature,Lat,GlobalDensity,Lat=Mid|GlobalDensity=Mid,0,33796296296296297,0,41512345679012347,0,24691358024691357
Temperature,Lat,GlobalDensity,Lat=Mid|GlobalDensity=High,0,3014105419450631,0,40757238307349664,0,29101707498144025
Temperature,Lat,GlobalDensity,Lat=High|GlobalDensity=Low,0,42168674698795183,0,3253012048192771,0,25301204819277107
Temperature,Lat,GlobalDensity,Lat=Low|GlobalDensity=Mid,0,4567243675099867,0,37683089214380827,0,16644474034620507
Temperature,Lat,GlobalDensity,Lat=High|GlobalDensity=High,0,2827476038338658,0,26357827476038337,0,4536741214057508
Temperature,Lat,GlobalDensity,Lat=High|GlobalDensity=Mid,0,3097686375321337,0,3059125964010283,0,38431876606683807
Temperature,Lat,GlobalDensity,Lat=Low|GlobalDensity=High,0,5478927203065134,0,31800766283524906,0,13409961685823754
Temperature,Lat,GlobalDensity,Lat=Mid|GlobalDensity=Low,0,45555555555555555,0,4,0,14444444444444443
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=High|HarvestSlattervallTotal=High,0,5686900958466453,0,4057507987220447,0,025559105431309903
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Low|HarvestSlattervallTotal=High,0,0,4636752136752137,0,5363247863247863
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Low|HarvestSlattervallTotal=Low,0,019400352733686066,0,4514991181657848,0,5291005291005291
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Mid|HarvestSlattervallTotal=Low,0,014388489208633094,0,6187050359712231,0,3669064748201439
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=High|HarvestSlattervallTotal=Mid,0,033003300330033,0,34983498349834985,0,6171617161716172
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=High|HarvestSlattervallTotal=Mid,0,3940677966101695,0,3898305084745763,0,21610169491525424
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Low|HarvestSlattervallTotal=Missing,0,0,8300653594771242,0,16993464052287582
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Low|HarvestSlattervallTotal=Missing,0,045454545454545456,0,6590909090909091,0,29545454545454547
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Mid|HarvestSlattervallTotal=Mid,0,035211267605633804,0,2605633802816901,0,704225352112676
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Low|HarvestSlattervallTotal=Mid,0,0,07076923076923076,0,9292307692307692
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=High|HarvestSlattervallTotal=Low,0,031914893617021274,0,5531914893617021,0,4148936170212766
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=High|HarvestSlattervallTotal=Missing,0,0,4444444444444444,0,5555555555555556
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Mid|HarvestSlattervallTotal=Low,0,410958904109589,0,3972602739726027,0,1917808219178082
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Mid|HarvestSlattervallTotal=Missing,0,0,5,0,5
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Mid|HarvestSlattervallTotal=High,0,2801724137931034,0,5258620689655172,0,1939655172413793
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=High|HarvestSlattervallTotal=High,0,07042253521126761,0,04225352112676056,0,8873239436619719
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Mid|HarvestSlattervallTotal=Mid,0,0821917808219178,0,2054794520547945,0,7123287671232876
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Low|Wind=Mid|HarvestSlattervallTotal=High,0,013888888888888888,0,19444444444444445,0,7916666666666666
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Low|HarvestSlattervallTotal=Low,0,528957528957529,0,3667953667953668,0,10424710424710425
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=High|HarvestSlattervallTotal=Missing,0,32978723404255317,0,6595744680851063,0,010638297872340425
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=High|HarvestSlattervallTotal=Low,0,5179856115107914,0,38489208633093525,0,09712230215827339
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Mid|HarvestSlattervallTotal=Low,0,8679245283018868,0,1320754716981132,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Low|HarvestSlattervallTotal=Low,0,9274193548387096,0,07258064516129033,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=High|HarvestSlattervallTotal=High,0,9078947368421053,0,09210526315789473,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Low|HarvestSlattervallTotal=Mid,0,0022026431718061676,0,19383259911894274,0,8039647577092511
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Mid|HarvestSlattervallTotal=Missing,0,5689655172413793,0,43103448275862066,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=Mid|Wind=Low|HarvestSlattervallTotal=High,0,05660377358490566,0,6289308176100629,0,31446540880503143
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=High|HarvestSlattervallTotal=Missing,0,4188034188034188,0,5811965811965812,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Low|HarvestSlattervallTotal=Missing,0,7070707070707071,0,29292929292929293,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Mid|HarvestSlattervallTotal=Missing,0,7346938775510204,0,2653061224489796,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Mid|HarvestSlattervallTotal=High,0,8621908127208481,0,13780918727915195,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Low|HarvestSlattervallTotal=High,0,8481012658227848,0,1518987341772152,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=High|HarvestSlattervallTotal=Low,0,8854166666666666,0,11458333333333333,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Low|HarvestSlattervallTotal=Mid,0,9904761904761905,0,0,009523809523809525
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=Mid|HarvestSlattervallTotal=Mid,0,8541666666666666,0,14583333333333334,0
Humidity,Temperature,Wind,HarvestSlattervallTotal,Temperature=High|Wind=High|HarvestSlattervallTotal=Mid,0,8,0,2,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=Low|GlobalDensity=Low,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=Mid|GlobalDensity=Mid,0,8244111349036403,0,17558886509635974,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=Mid|GlobalDensity=High,0,02584493041749503,0,18886679920477137,0,7852882703777336
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=High|GlobalDensity=Low,0,2972636815920398,0,208955223880597,0,4937810945273632
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Mid|Lat=Low|GlobalDensity=Mid,0,08557457212713937,0,8801955990220048,0,034229828850855744
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=High|GlobalDensity=High,0,0,1
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=High|GlobalDensity=Mid,0,08300395256916997,0,13438735177865613,0,782608695652174
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=Low|GlobalDensity=Mid,0,8879668049792531,0,11203319502074689,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=High|GlobalDensity=Mid,0,10617760617760617,0,8938223938223938,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Mid|Lat=Low|GlobalDensity=Low,0,6657559198542805,0,3342440801457195,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Missing|Lat=High|GlobalDensity=Low,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Missing|Lat=High|GlobalDensity=High,0,0,1
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Missing|Lat=Mid|GlobalDensity=High,0,0,05017921146953405,0,9498207885304659
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=High|GlobalDensity=High,0,0,8725490196078431,0,12745098039215685
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Mid|Lat=Mid|GlobalDensity=High,0,0,1
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=Mid|GlobalDensity=High,0,28867924528301886,0,6849056603773584,0,026415094339622643
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Missing|Lat=Low|GlobalDensity=Mid,0,27722772277227725,0,26732673267326734,0,45544554455445546
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=Low|GlobalDensity=High,0,055793991416309016,0,20600858369098712,0,7381974248927039
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=Low|GlobalDensity=High,0,1,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Mid|Lat=Mid|GlobalDensity=Mid,0,04375,0,125,0,83125
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=High|Lat=High|GlobalDensity=Low,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=Low|GlobalDensity=Low,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Missing|Lat=High|GlobalDensity=Mid,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Mid|Lat=Mid|GlobalDensity=Low,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Missing|Lat=Low|GlobalDensity=Low,1,0,0
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Low|Lat=Mid|GlobalDensity=Mid,0,0,1
DistCoast,HarvestSlattervallTotal,Lat,GlobalDensity,HarvestSlattervallTotal=Mid|Lat=Low|GlobalDensity=High,0,0,1
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Mid|Lat=Low,0,6189624329159212,0,11806797853309481,0,2629695885509839
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=High|Lat=Mid,0,8705501618122977,0,0970873786407767,0,032362459546925564
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Mid|Lat=Mid,0,5981308411214953,0,3644859813084112,0,037383177570093455
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Missing|Lat=High,0,8,0,084,0,116
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Mid|Lat=Low,0,34095238095238095,0,13523809523809524,0,5238095238095238
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Mid|Lat=High,0,96875,0,03125,0
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Low|Lat=High,0,7804054054054054,0,13175675675675674,0,08783783783783784
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Low|Lat=Low,0,4467455621301775,0,27514792899408286,0,2781065088757396
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=High|Lat=High,0,8631578947368421,0,12105263157894737,0,015789473684210527
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Low|Lat=Low,0,37735849056603776,0,20754716981132076,0,41509433962264153
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Low|Lat=Mid,0,697594501718213,0,1718213058419244,0,13058419243986255
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Low|Lat=High,0,48360655737704916,0,3483606557377049,0,1680327868852459
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Missing|Lat=High,0,6127450980392157,0,18627450980392157,0,20098039215686275
Wind,Temperature,HarvestHavre,Lat,Temperature=Low|HarvestHavre=Missing|Lat=Low,0,31343283582089554,0,1791044776119403,0,5074626865671642
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Low|Lat=Mid,0,2090032154340836,0,29260450160771706,0,4983922829581994
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Missing|Lat=Low,0,40384615384615385,0,17307692307692307,0,4230769230769231
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Mid|Lat=Mid,0,041176470588235294,0,28823529411764703,0,6705882352941176
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=High|Lat=Mid,0,19070904645476772,0,3251833740831296,0,4841075794621027
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Mid|Lat=Mid,0,4742268041237113,0,26804123711340205,0,25773195876288657
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Missing|Lat=High,0,4492753623188406,0,2753623188405797,0,2753623188405797
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=Mid|Lat=High,0,12244897959183673,0,7959183673469388,0,08163265306122448
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=High|Lat=High,0,10989010989010989,0,4725274725274725,0,4175824175824176
Wind,Temperature,HarvestHavre,Lat,Temperature=Mid|HarvestHavre=High|Lat=High,0,17045454545454544,0,44886363636363635,0,3806818181818182
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Low|Lat=Mid,0,47029702970297027,0,24257425742574257,0,2871287128712871
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Low|Lat=High,0,4147727272727273,0,3494318181818182,0,23579545454545456
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=High|Lat=Mid,0,14336917562724014,0,5053763440860215,0,35125448028673834
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Mid|Lat=High,0,5333333333333333,0,4,0,06666666666666667
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Mid|Lat=Low,0,7411167512690355,0,09137055837563451,0,16751269035532995
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Low|Lat=Low,0,40186915887850466,0,4766355140186916,0,12149532710280374
Wind,Temperature,HarvestHavre,Lat,Temperature=High|HarvestHavre=Missing|Lat=Low,0,8,0,06666666666666667,0,13333333333333333
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=Low|NiPpm=Low|SiO2=Low,0,0,10294117647058823,0,8970588235294118
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=Mid|NiPpm=Low|SiO2=High,0,2517985611510791,0,5467625899280576,0,2014388489208633
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=Mid|NiPpm=Low|SiO2=High,0,43902439024390244,0,5609756097560976,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=Low|SiO2=Low,0,8,0,2,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=Missing|SiO2=Missing,0,30627871362940273,0,2327718223583461,0,4609494640122512
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=Mid|SiO2=Low,0,65,0,35,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=Low|SiO2=Mid,0,6086956521739131,0,2898550724637681,0,10144927536231885
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Low|SiO2=Mid,0,6774193548387096,0,11290322580645161,0,20967741935483872
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=Mid|NiPpm=Missing|SiO2=Missing,0,5384615384615384,0,3076923076923077,0,15384615384615385
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=Mid|SiO2=High,0,3333333333333333,0,6666666666666666,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=Low|NiPpm=High|SiO2=Low,0,5,0,0,5
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=High|SiO2=Low,0,22435897435897437,0,7371794871794872,0,038461538461538464
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=High|NiPpm=Mid|SiO2=Mid,0,1,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=High|NiPpm=Mid|SiO2=Low,0,07224334600760456,0,9277566539923955,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Low|SiO2=High,0,07291666666666667,0,14583333333333334,0,78125
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=Mid|SiO2=Mid,0,5,0,0,5
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=High|SiO2=Mid,0,2916666666666667,0,6458333333333334,0,0625
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=High|SiO2=Low,0,06598984771573604,0,023688663282571912,0,9103214890016921
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Mid|SiO2=Low,0,0374331550802139,0,0374331550802139,0,9251336898395722
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=High|SiO2=Mid,0,04861111111111111,0,19444444444444445,0,7569444444444444
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=High|SiO2=High,0,0,2,0,8
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=Low|SiO2=Mid,0,8,0,2,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=High|SiO2=Low,1,0,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=Mid|SiO2=Low,1,0,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=Mid|NiPpm=High|SiO2=Low,1,0,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=High|SiO2=Mid,0,5,0,5,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=Low|SiO2=Low,0,6666666666666666,0,3333333333333333,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Mid|SiO2=High,0,16666666666666666,0,3333333333333333,0,5
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Mid|SiO2=Mid,0,39490445859872614,0,044585987261146494,0,5605095541401274
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=High|NiPpm=Low|SiO2=High,0,1977401129943503,0,8022598870056498,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=High|NiPpm=Low|SiO2=Low,0,3,0,0,7
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Mid|NiPpm=Low|SiO2=Mid,1,0,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=High|Lat=High|NiPpm=Low|SiO2=Mid,0,5,0,5,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Low|SiO2=Low,0,0,2,0,8
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=High|NiPpm=Missing|SiO2=Missing,1,0,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Low|Lat=High|NiPpm=Mid|SiO2=Mid,0,7083333333333334,0,24305555555555555,0,04861111111111111
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Mid|Lat=Low|NiPpm=Missing|SiO2=Missing,0,1,0
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=Low|NiPpm=Low|SiO2=Mid,0,17073170731707318,0,4878048780487805,0,34146341463414637
DirCoast,HarvestSlattervallTotal,Lat,NiPpm,SiO2,HarvestSlattervallTotal=Missing|Lat=Low|NiPpm=Mid|SiO2=Low,0,0,1
