VarX;VarY;CorrXY;Alpha;Beta;Gamma;Beff
Temperature;Humidity;-0,7525437860938;-0,09679880567934775;-0,10451561023301448;0,04401440889371191;0,006659845397598666
Temperature;DistCoast;0,013788838898778648;-0,09679880567934775;-0,06045373696613383;0,2699933675579638;0,006659845397598666
Humidity;DistCoast;-0,17833406097853252;-0,10451561023301448;-0,06045373696613383;0,04368294927744169;0,006659845397598666
Wind;DirCoast;0,014838439310979926;-0,03571475168875619;0,01431171026086247;0,015789240274063795;0,006659845397598666
Wind;Humidity;-0,18540337067121992;-0,03571475168875619;-0,10451561023301448;-0,010891439843727426;0,006659845397598666
SoilDepthMeters;DistRidge;0,23270082980313322;0,10800913988588844;0,038291006267944364;-0,0836566399034956;0,006659845397598666
DirCoast;DistCoast;-0,17379092060626042;0,01181150289834674;-0,061627644544387024;-0,03611631926385801;0,006659845397598666
HarvestHostvete;SoilDepthMeters;-0,09996061317534889;0,4890363655855631;0,050928713107464475;-0,23507797823197737;0,006659845397598666
HarvestHavre;Humidity;-0,1811578282481103;0,4678117774218498;-0,03558841006237217;-0,4698008995358456;0,006659845397598666
HarvestSlattervallTotal;Temperature;0,15556475467188982;0,42817758129017497;-0,07882554656570917;-0,510125393542711;0,006659845397598666
Temperature;Lat;-0,0015563075471199646;-0,09679880567934775;-0,2730505464647378;0,04161494014541896;0,006659845397598666
Humidity;Lat;-0,249873388672552;-0,10451561023301448;-0,2730505464647378;-0,0702259079694114;0,006659845397598666
Wind;Lat;-0,21122255718039165;-0,03571475168875619;-0,2730505464647378;0,0315682938638111;0,006659845397598666
Fe2O3;NiPpm;0,6068575322032176;-0,02605214501792638;-0,01699309118439507;0,05586223905036109;0,006659845397598666
NiPpm;CrPpm;0,817919095445457;-0,01699309118439507;-0,014379208610224476;0,04692122120815004;0,006659845397598666
IsMoran;IsLera;0,015729794327312425;0,1742062193444921;-0,009257400062574679;0,08033397835963728;0,006659845397598666
IsLera;Al2O3;0,1435017486538532;-0,012404063216961829;-0,04928457589365528;-0,5471990032208834;0,006659845397598666
SiO2;Fe2O3;-0,45358811007408534;-0,13856329253875824;-0,02605214501792638;-0,020294379127984673;0,006659845397598666

