Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
Temperature;0,00839436364536718;-0.09162075990389504;;14,127546253036815;3,4251720968938564;;;;-0.1094818523876525;-0.07370051987284042;0.009189131157965684
Wind;0,010331755707296605;-0.10164524439095321;;2,911231545505513;1,6505615990692988;;;;-0.11946822181139416;-0.08375677608878554;0.0075646502237874565
Humidity;0,00341047267905131;0.058399252384352576;;46,84773874042235;14,869399492980472;;;;0.04039975025259786;0.07636086432759939;0.0069116872794728725
Aqi;0,02715210174453583;-0.16477894812304097;;36,22943246810383;2,240255395803511;;;;-0.18470922053699912;-0.14471320190468756;0.008225670443907951
Pm25;0,07563090534418868;0.2750107367798368;;4,064276286845576;1,4332382640221413;;;;0.25590145649786333;0.2939051783109068;0.009228421421110744
Pm10;0,04323741224913263;0.20793607731495906;;5,314518257808959;1,7744499734198311;;;;0.18818452132766406;0.22751950313726244;0.009725913936887738
O3;0,021036172369357186;-0.14503852029497952;;61,949736031676196;9,003049076917431;;;;-0.1651022008550672;-0.12485484628525897;0.012104256596944085
UvMaxToday;0,00010247380837099897;0.01012293477065811;;4,680020000000026;0,9270936846619274;;;;-0.017601806415385664;0.03783212087808666;0.01424288398788816
Lon;0,27678029190666836;-0.5260991274528674;;14,83628611164929;2,1385659615460484;;;;-0.5357204113746639;-0.5163412545986814;0.005412523472701053
Lat;0,3211873016779036;-0.5667338896500752;;57,92291790514848;1,7801414486765856;;;;-0.5757595300960145;-0.5575701439251131;0.006391354435023119
SmhiWeatherTemp;0,007690734295454814;-0.08769683172985678;0,027061673988847134;14,563207811624318;3,411771373720703;1.6761321177675972;7.739634538993044E-05;;-0.10097536637395126;-0.07438705876708128;0.009223850691277563
SeaTemperature;;;;;;;;;;;
SeaSalinity;;;;;;;;;;;
PollenBirch;;;;;;;;;;;
PollenGrass;;;;;;;;;;;
PollenMugwort;;;;;;;;;;;
PollenAlder;;;;;;;;;;;
PollenHazel;;;;;;;;;;;
PollenWillow;;;;;;;;;;;
DirRiver;8,188166838135858E-05;-0.00904884900865069;;176,1993816013784;104,28551861151276;;;;-0.02412044766935004;0.00602686205844211;0.007216096303321384
DirCoast;0,013307786484396617;0.11535937969838697;;176,08659806334228;84,92836216330677;;;;0.10212003558324001;0.12855786443547085;0.006519346644522763
IsGrundvattenMagasin;0,45103718931040926;;;;;;;;;;
IsInSubbasin;0,0135955896094188;;;;;;;;;;
SoilDepthMeters;0,01240254891572307;0.1113667316379675;;13,28995762552792;17,49355650145307;;;;0.09808671376136925;0.12460709395897467;0.004668208815865564
RidgeDirection;0,05552105104745911;-0.23562905391198918;;193,56426558774655;152,9427352990753;;;;-0.2513026975469871;-0.21983186781406916;0.007672140627178273
IsGranit;0,5221453933844141;;;;;;;;;;
IsDiabas;0,013034946738927303;;;;;;;;;;
IsBasalt;0,010091571668846944;;;;;;;;;;
IsAmfibolit;0,11997757428518034;;;;;;;;;;
IsSandsten;0,27653709586993086;;;;;;;;;;
IsKonglomerat;0,05741917398617081;;;;;;;;;;
IsLerskiffer;0,3295645673705849;;;;;;;;;;
IsKalksten;0,13147075313025602;;;;;;;;;;
IsLera;0,15338254531863202;;;;;;;;;;
IsKol;0,10362549056251168;;;;;;;;;;
IsGnejs;0,23070454120725098;;;;;;;;;;
IsPegmatit;0,04190805456923939;;;;;;;;;;
IsSkiffer;0,3295645673705849;;;;;;;;;;
IsKvartsit;0,1298822649971968;;;;;;;;;;
IsBerg;0,181274528125584;;;;;;;;;;
IsSilt;0,1972995701737993;;;;;;;;;;
IsSand;0,17160343860960567;;;;;;;;;;
IsGrus;0,17160343860960567;;;;;;;;;;
IsTorv;0,01004485142963932;;;;;;;;;;
IsMoran;0,24009530928798356;;;;;;;;;;
IsIsalv;0,1584283311530555;;;;;;;;;;
IsVittringsjord;0;;;;;;;;;;
IsMoranlera;0,08190057933096617;;;;;;;;;;
Al2O3;0,0011606403660531655;-0.03406817233215139;;13,75589723999618;2,1459202167018154;;;;-0.05318797604841284;-0.014923398713286578;0.008464171634627544
AsPpm;0,000840126937247149;0.028984943285215326;;-2,218603762773374;12,13479929634057;;;;0.00983589207794676;0.04811274347378738;0.009904105662000472
BaO;0,002803197576968086;0.052945231862445236;;59,07754751217649;24,66128719461966;;;;0.03382502315390091;0.0720266987206694;0.009217602051193825
CaO;0,002418506896064525;-0.049178317336652795;;24,245726291662688;43,04120407203476;;;;-0.06826852131978657;-0.03005211400723394;0.005017861710850103
ClPpm;0,04299990181322482;-0.20736417678380425;;78,22299684843854;117,31228143541885;;;;-0.22562252524513232;-0.18896020707524805;0.011908500515562342
CoPpm;6,64025587046957E-05;-0.008148776515814856;;22,141438258046033;8,191590313041527;;;;-0.02729902754446734;0.011007453612039203;0.008102534532793701
CrPpm;0,027440990165784492;-0.1656532226242052;;54,77375608824372;28,17388534599554;;;;-0.18422319322835848;-0.14696503162574553;0.0077331145780338345
CuPpm;0,004992823210243878;-0.07065991232830592;;18,02463948046987;15,180806646889573;;;;-0.08969302876803667;-0.0515752050860677;0.007105191190329187
Fe2O3;0,00018270073968749192;0.0135166837533284;;37,426224811383825;18,157495100782523;;;;-0.00563928830956211;0.03266273921134396;0.009055697960183016
K2O;0,00019273834658363814;-0.013883023683032387;;27,395091204278483;9,316428822595741;;;;-0.03302875261334759;0.005272890517664284;0.011042236391360677
MgO;0,04798707883779376;-0.21905953263392525;;12,853500143252793;7,047900438716125;;;;-0.23721868018393852;-0.20074735217751835;0.007974266394898276
MnO;0,008156493404005682;0.09031330690438526;;66,53347340273136;43,582860314981325;;;;0.07128210632185218;0.109278776768475;0.008290829583287912
MoPpm;0,010867171754210942;-0.10424572775040204;;2,721325565848534;12,723752232311805;;;;-0.12315432815830217;-0.08526146377862266;0.007182808254370619
Na2O;9,964468719524724E-06;0.0031566546722004173;;17,942316875179067;8,71627028374385;;;;-0.015998824703849897;0.02230981774760327;0.010167658046261838
NiPpm;0,0021464356793709435;-0.04632964147682284;;20,187661159392608;13,869704246162184;;;;-0.06542609296408049;-0.02719926667536689;0.007037523771624645
P2O5;0,0021947107955017277;-0.04684774055919589;;195,04479037341227;167,2558118261351;;;;-0.06594307884714061;-0.027718101255429745;0.007748559974947054
PbPpm;0,009101214208598656;-0.09540028411172922;;28,58485340464139;20,947663800440022;;;;-0.11434584671906703;-0.07638535455510045;0.0083417382970833
RbPpm;0,04648080290101561;-0.21559406972599132;;100,41342756183745;25,688604856868817;;;;-0.23378315103273525;-0.19725413823722804;0.00988366782779773
SPpm;0,003737530227375884;0.061135343520551874;;314,1999805655427;333,4074853051938;;;;0.04186348446251158;0.08036172788167241;0.008978227709571405
SiO2;0,02677598548850473;0.16363369301126443;;70,36472161207143;6,406853184903273;;;;0.14493344931289995;0.18221707775535637;0.008271234567710237
SrPpm;3,5506123930218135E-06;0.0018843068733679802;;160,20781205233502;73,0662544264423;;;;-0.017270828502512294;0.021038059567368924;0.007430941095372244
TiO2;0,03797880796591537;0.1948815228951051;;64,32212778149174;25,055240713289063;;;;0.1763854330860166;0.21324003960029522;0.009125760477634401
VPpm;0,01201911596524745;-0.10963172882540642;;71,56412950052525;37,62050321795966;;;;-0.12851636390101012;-0.09066761355918462;0.013380328010137678
ZnPpm;0,000263257429017177;-0.01622520967559979;;70,61082991118327;85,26743317726238;;;;-0.035368729590769;0.0029302130137408575;0.008110719126929013
ZrPpm;0,21868705118278592;0.4676398733884718;;464,47006016617325;158,26426112053434;;;;0.45253893981135324;0.4824726780919367;0.007236382272745956
HarvestHostvete;0,09889092539782106;-0.31446927576127537;;140574,3692527453;548775,8241725736;;;;-0.33106100263869787;-0.2976831594427561;0.006019100701055042
HarvestVarvete;0,058300350939633316;-0.24145465607362662;;14608,486140724946;47356,920234782825;;;;-0.25996506290433047;-0.22276686002404017;0.006805741176189617
HarvestRag;0,2545123695339384;-0.5044921897650532;;17157,42280837859;39557,895683520925;;;;-0.5224719211024957;-0.48606401303372576;0.009755340926535683
HarvestHostkorn;0,257302400499921;-0.5072498403153233;;13458,08877746645;27138,858913582735;;;;-0.5247170315350451;-0.48935570230663855;0.00953974275010735
HarvestVarkorn;0,049805035617528845;-0.22317041832986925;;55755,87083476468;229167,5711173055;;;;-0.24036014409001671;-0.2058407619367885;0.005633315165004078
HarvestHavre;0,0687738875229141;-0.2622477598053301;;31914,002299663895;125334,12120701621;;;;-0.27933102019453115;-0.2449985303705205;0.00562819145063923
HarvestArter;0,08320765429803237;-0.2884573699839066;;8907,390945142102;19272,127455530706;;;;-0.3113897101879349;-0.26518925330504367;0.006700591673613274
HarvestAkerbonor;0,3084573920843587;-0.555389405808536;;6864,232472888346;12711,521054733807;;;;-0.5719190846272278;-0.5384088853125096;0.0095191255059759
HarvestMatpotatis;0,24517261475211313;-0.4951490833598636;;68457,33395989976;117275,54817515696;;;;-0.5134439275552823;-0.47640432794818466;0.008880987068978085
HarvestPotatisStarkelse;0,6816413736911671;-0.8256157542653647;;86553,8975341154;115339,79097506014;;;;-0.8350351422840964;-0.8157125390820378;0.006041280214547923
HarvestSockerbetor;0,6694088866267658;-0.818174117548805;;301136,1809045226;643206,0024677034;;;;-0.8277357161236818;-0.8081375097792485;0.006066091192443571
HarvestHostraps;0,09999403258127915;-0.3162183305586176;;16765,684915947295;53868,16475164234;;;;-0.3348955797892078;-0.2972926907415845;0.006542923384180723
HarvestVarraps;0,07475140264473334;-0.2734070274238271;;6263,870908082115;11506,768232065968;;;;-0.2978920385655059;-0.24856250527858345;0.006861207176028169
HarvestSlattervallTotal;0,04951694512431694;-0.2225240326893186;;228114,89088575097;960215,5032400895;;;;-0.24028908138063454;-0.2046099713965143;0.005604147893149006
HarvestSlattervallForsta;0,07975571732266876;-0.2824105474706438;;144734,0496867099;585010,3571585115;;;;-0.30121269197614553;-0.26338888828831825;0.007132770973277026
HarvestSlattervallAttervaxt;0,08888512394022884;-0.29813608292226024;;118926,6514650553;471557,1646501489;;;;-0.3170862966271575;-0.2789479007884621;0.008076577937805121
