Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,024350649350649352,0,011363636363636364,0,9642857142857143
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,2803532008830022,0,6136865342163356,0,10596026490066225
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,40652173913043477,0,5826086956521739,0,010869565217391304
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,4492753623188406,0,36231884057971014,0,18840579710144928
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,08082975679542204,0,1838340486409156,0,7353361945636624
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=High|HarvestSlattervallTotal=High,0,3801717408274785,0,4098360655737705,0,209992193598751
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,1530398322851153,0,570230607966457,0,27672955974842767
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,8167539267015707,0,18324607329842932,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=High,0,4666666666666667,0,41333333333333333,0,12
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,5555555555555556,0,32098765432098764,0,12345679012345678
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,8260869565217391,0,17391304347826086,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=High,0,4,0,6,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=High|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,6578947368421053,0,3157894736842105,0,02631578947368421
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,5627376425855514,0,22433460076045628,0,21292775665399238
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,5073649754500819,0,47299509001636664,0,019639934533551555
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=High|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,8947368421052632,0,05263157894736842,0,05263157894736842
